[meta]

id="cosmetic"
name="Base de donnée pour cosmétique"

[cards]

orbe_1={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Selon cette étude : https://doi.org/10.1002/col.21949 le rouge augmente marginalement notre rythme cardiaque, et selon cette autre étude :  https://doi.org/10.3389/fnhum.2015.00212 le rouge attire l'attention, donc avec cette magnifique orbe rouge, vous pouvez distraire vos ennemies, qui se concentrerons donc moins sur la game, et leur compétence serons marginalement inférieur, vous donnant possiblement un avantage !",
"desc_magasin": "Une orbe mais qui est rouge",
"name": "Orbe Rouge",
"texture_casier": "res://screens/board/Orbe_Rouge.png",
"texture_magasin": "res://screens/board/Orbe_Rouge.png"
},
"values": {
"obamium": 150,
"size": 0.5
}
}
orbe_2={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Bah c'est juste un orbe mais jaune tuve qje te dise quoi ?",
"desc_magasin": "Une orbe mais qui est jaune",
"name": "Orbe Jaune",
"texture_casier": "res://screens/board/Orbe_Jaune_.png",
"texture_magasin": "res://screens/board/Orbe_Jaune_.png"
},
"values": {
"obamium": 150,
"size": 0.5
}
}
orbe_3={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Wow, une orbe bleu",
"desc_magasin": "Une orbe mais qui est bleue",
"name": "Orbe Bleue",
"texture_casier": "res://screens/board/Orbe_Bleue.png",
"texture_magasin": "res://screens/board/Orbe_Bleue.png"
},
"values": {
"obamium": 150,
"size": 0.5
}
}
orbe_4={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "C'est une orbe Orange tu sais lire ou pas ?",
"desc_magasin": "Kirbo en personne recommande cette orbe",
"name": "Orbe Orange",
"texture_casier": "res://screens/board/Orbe_Orange.png",
"texture_magasin": "res://screens/board/Orbe_Orange.png"
},
"values": {
"obamium": 150,
"size": 0.5
}
}
orbe_5={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "L'orbe de base",
"desc_magasin": "Les sociétés sont des esprits, les cultures sont leurs langages et leurs idées. Être contre le dialecte et la synthèse de la culture, c'est être contre l'esprit uni de l'humanité qui se réconcilie avec elle-même.",
"name": "Orbe Verte",
"texture_casier": "res://screens/board/Orbe_Verte.png",
"texture_magasin": "res://screens/board/Orbe_Verte.png"
},
"values": {
"obamium": 150,
"size": 0.5
}
}
orbe_6={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Selon vos PV durant la game, la couleur de votre orbe changera !",
"desc_magasin": "Cette orbe change selon vos PV, entre 15 et 30 l'orbe est verte, entre 5 et 15 l'orbe est orange, et en dessous elle est rouge",
"name": "Orbe dynamique",
"texture_casier": "res://screens/casier/icon/orbe/OrbeDynamique.png",
"texture_magasin": "res://screens/casier/icon/orbe/OrbeDynamique.png"
},
"values": {
"obamium": 450,
"size": 0.5
}
}
orbe_7={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Avec cette orbe au couleurs du drapeau tricolore, vos cartes serons hanté par le fantome de Napoléon, perdrons la tête, et finirons dans un hospital psychiatrique.",
"desc_magasin": "En achetant cette orbe patriote, soutenez l'industrie du jeu vidéo Andorran !",
"name": "Orbe Française",
"texture_casier": "res://screens/board/Orbe_France.png",
"texture_magasin": "res://screens/board/Orbe_France.png"
},
"values": {
"obamium": 450,
"size": 0.5
}
}
orbe_8={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Cette orbe Godot vous mettra dans la peau du célèbre développeur Andorran de Funky Cards Arena !",
"desc_magasin": "L'orbe représentant le moteur de dev le plus basé au monde",
"name": "Godorbe",
"texture_casier": "res://screens/board/orbe_godorbe.png",
"texture_magasin": "res://screens/board/orbe_godorbe.png"
},
"values": {
"obamium": 450,
"size": 0.5
}
}
orbe_9={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Mais c'est littéralement Goku ma parole",
"desc_magasin": "On achète même plus des orbes à ce compte là on achète directement un saiyan",
"name": "Goku",
"texture_casier": "res://screens/board/orbe_goku.png",
"texture_magasin": "res://screens/board/orbe_goku.png"
},
"values": {
"obamium": 700,
"size": 0.5
}
}
orbe_10={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Aime: les paguepis, n'aime pas: les arabes",
"desc_magasin": "L'orbe représentant un pays magnifique qui ignore le méchant fisc !",
"name": "Andorbe",
"texture_casier": "res://screens/board/orbe_andorbe.png",
"texture_magasin": "res://screens/board/orbe_andorbe.png"
},
"values": {
"obamium": 190,
"size": 0.5
}
}
orbe_11={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Les français patriotes de france viennent tous d'ici",
"desc_magasin": "Le roi du Maroc vous attend derrière chez vous",
"name": "Orbe Maroc",
"texture_casier": "res://screens/board/orbe_maroc.png",
"texture_magasin": "res://screens/board/orbe_maroc.png"
},
"values": {
"obamium": 250,
"size": 0.5
}
}
orbe_12={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Oubliez pas le petit sucre sinon ce sera amer et dégeu",
"desc_magasin": "Doux et moelleux",
"name": "Tasse de Café",
"texture_casier": "res://screens/board/orbe_tassedecafe.png",
"texture_magasin": "res://screens/board/orbe_tassedecafe.png"
},
"values": {
"obamium": 300,
"size": 0.5
}
}
orbe_13={
"categories": {
"type": "Orbe",
"type_magasin": "orbe"
},
"texts": {
"desc_casier": "Ne l'utilisez pas pour acheter des choses sinon vous n'aurez plus d'orbe",
"desc_magasin": "Pour les fans d'argent et d'Europe",
"name": "Pièce de 1 Eurorbe",
"texture_casier": "res://screens/board/orbe_piece.png",
"texture_magasin": "res://screens/board/orbe_piece.png"
},
"values": {
"obamium": 250,
"size": 0.5
}
}
orbe_14={
"categories": {
